t,cmdty,market_id,market_name,state_id,state_name,district_id,district_name,variety,p_min,p_max,p_modal
"2025-07-12","Brinjal","10360","Sariahjan","18","Assam","314","Karbi Anglong","Brinjal","1500","1600","1500"
"2025-07-12","Brinjal","10384","Barpeta Road","18","Assam","303","Barpeta","Brinjal","1500","2000","1800"
"2025-07-12","Brinjal","10342","Bilasipara","18","Assam","301","Dhubri","Brinjal","2000","2400","2000"
"2025-07-12","Brinjal","10339","Tangni","18","Assam","325","Darrang","Brinjal","1200","1500","1400"
"2025-07-11","Brinjal","1881","Dhekiajuli","18","Assam","306","Sonitpur","Brinjal","2300","2400","2400"
"2025-07-11","Brinjal","1885","Nalbari","18","Assam","323","Nalbari","Brinjal","2600","3000","3000"
"2025-07-11","Brinjal","409","Jorhat","18","Assam","312","Jorhat","Brinjal","2700","3000","3000"
"2025-07-11","Brinjal","10348","Lakhipur","18","Assam","302","Goalpara","Brinjal","2000","2400","2200"
"2025-07-11","Brinjal","10359","Manja","18","Assam","314","Karbi Anglong","Brinjal","2000","2200","2000"
"2025-07-11","Brinjal","10384","Barpeta Road","18","Assam","303","Barpeta","Brinjal","1500","1800","1600"
"2025-07-11","Brinjal","10343","Chapar","18","Assam","301","Dhubri","Brinjal","2000","2400","2000"
"2025-07-11","Brinjal","10337","Banglagarh","18","Assam","325","Darrang","Brinjal","1200","1500","1400"
"2025-07-10","Brinjal","1881","Dhekiajuli","18","Assam","306","Sonitpur","Brinjal","2500","2600","2600"
"2025-07-10","Brinjal","1885","Nalbari","18","Assam","323","Nalbari","Brinjal","2600","3000","3000"
"2025-07-10","Brinjal","10378","Kakoi Weekly Market","18","Assam","307","Lakhimpur","Brinjal","1700","2200","1800"
"2025-07-10","Brinjal","409","Jorhat","18","Assam","312","Jorhat","Brinjal","2600","2700","2700"
"2025-07-10","Brinjal","10349","Sonari","18","Assam","302","Goalpara","Brinjal","2000","2500","2400"
"2025-07-10","Brinjal","10384","Barpeta Road","18","Assam","303","Barpeta","Brinjal","1200","1800","1500"
"2025-07-10","Brinjal","10336","Balugaon","18","Assam","325","Darrang","Brinjal","1200","1500","1300"
"2025-07-09","Brinjal","1881","Dhekiajuli","18","Assam","306","Sonitpur","Brinjal","2400","2600","2600"
"2025-07-09","Brinjal","10371","Dhamdhama","18","Assam","323","Nalbari","Brinjal","2000","2400","2400"
